"county","subcounty","pop12_total","pop12_0_1","pop12_2_4","pop12_5_9","pop12_10_14","pop12_15_19","pop12_20_24","pop12_25_29","pop12_30_34","pop12_35_39","pop12_40_44","pop12_45_49","pop12_50_54","pop12_55_59","pop12_60_64","pop12_65_69","pop12_70_74","pop12_75_79","pop12_80p"
"Kericho","Ainamoi",173496.780883789,10250.9821479165,16452.2280401802,25167.4163481847,22636.7847239373,18746.3287995781,16972.9205551481,14392.7608272077,11327.737329609,9030.84004874255,6636.87829523389,5722.28089457742,4299.11673200861,3200.95152582574,2669.63492688668,1756.87639645629,1525.50246106723,982.415294275227,1725.12553695379
"Nandi","Aldai",176393.834358215,10422.1532975863,16726.9477448517,25587.6624795678,23014.7743068002,19059.3554546255,17256.3347961211,14633.0914981784,11516.8881635378,9181.6372359118,6747.70105071446,5817.83168037777,4370.90348794716,3254.40109239478,2714.21255594118,1786.2127613304,1550.97533833082,998.819688795467,1753.93172520232
"Siaya","Alego Usonga",212659.947369099,12564.920876069,20165.964643878,30848.4192545687,27746.5519733337,22977.9093051438,20804.1922943536,17641.6170053332,13884.730379748,11069.3579424435,8135.01081558933,7013.96272411034,5269.54986314671,3923.49748246391,3272.24758957748,2153.45345372524,1869.85182912002,1204.17441586485,2114.53552062971
"Migori","Awendo",124077.047363281,7331.03859914915,11765.8890693785,17998.597405313,16188.8041728318,13406.5261297896,12138.2647959613,10293.0513047501,8101.08518443426,6458.44817840503,4746.39505348316,4092.31637593353,3074.53376172438,2289.17569567746,1909.20210495351,1256.43850418498,1090.97033472583,702.578966464204,1233.73172612116
"Garissa","Balambala",75681.4783841372,4471.60736868868,7176.66883760685,10978.3436132773,9874.45026382679,8177.38444828841,7403.80146286702,6278.30333152975,4941.30152435635,3939.36603583041,2895.08980328191,2496.13091162193,1875.3288007247,1396.29532303955,1164.52833870182,766.371585367155,665.443364102183,428.541909995077,752.521461031272
"Kericho","Belgut",146187.919254526,8637.4498874591,13862.6029373184,21205.997080821,19073.6937051392,15795.6060447435,14301.3370449302,12127.3014227675,9544.72089707854,7609.36144821273,5592.21573670376,4821.57843567439,3622.42415382694,2697.11311536379,2249.42718327541,1480.33930933489,1285.38425592146,827.780475132363,1453.58612082287
"Kisii","Bobasi",208928.062835693,12344.4240948886,19812.0801795642,30307.0726581815,27259.6388077581,22574.679146354,20439.1078277495,17332.0313101379,13641.072788388,10875.1061982331,7992.2527578668,6890.87749188011,5177.07663593313,3854.64559120368,3214.82422274186,2115.66335861429,1837.03854572001,1183.04283968567,2077.42838079261
"Kisii","Bomachoge Borabu",111438.538909912,6584.29780158613,10567.4136734468,16165.2573130894,14539.8099169545,12040.9351730225,10901.8591472693,9244.59940578477,7275.90731503217,5800.58958462797,4262.92647261952,3675.47235675192,2761.36124703718,2055.99988277825,1714.73046450581,1128.45747148207,979.843916981237,631.014157375711,1108.06360956678
"Kisii","Bomachoge Chache",107743.579071045,6365.98269998857,10217.0306775279,15629.2670072123,14057.7144566816,11641.6947278235,10540.3869661713,8938.07687000025,7034.66056517935,5608.25984155518,4121.58091778319,3553.60497693961,2669.80298534232,1987.82923849403,1657.87526644948,1091.04128604226,947.355300771627,610.091665102687,1071.32362197982
"Bomet","Bomet Central",153811.655395508,9087.89503510699,14585.5411086821,22311.8950727688,20068.3915487326,16619.3508061855,15047.1553085035,12759.7431910121,10042.4804522436,8006.19152951056,5883.85117031197,5073.0249434575,3811.33446926425,2837.76823131845,2366.7353671602,1557.53937040042,1352.41736273965,870.949431618283,1529.39099649151
"Bomet","Bomet East",134847.769485474,7967.42205037136,12787.2473655329,19560.9966996342,17594.1012438175,14570.3027559782,13191.9478093886,11186.5573781848,8804.31385777854,7019.08491298589,5158.41406336127,4447.55695795857,3341.42396830609,2487.89154063813,2074.93368693864,1365.50581582545,1185.67389649325,763.567545556738,1340.8279367239
"Kisii","Bonchari",123213.738098145,7280.03034516334,11684.0237988711,17873.3658961044,16076.1649302734,13313.2455556053,12053.8085916615,10221.4338158854,8044.71906317332,6413.51127613903,4713.37035703249,4063.84265965571,3053.14162241356,2273.24795860118,1895.91816645522,1247.69639575488,1083.37952870673,697.690528641676,1225.14760800675
"Siaya","Bondo",166704.195095241,9849.6451588271,15808.1055970639,24182.0848985156,21750.5302272776,18012.3898415017,16308.4124394022,13829.2687430615,10884.2442157336,8677.27293665402,6377.03736355272,5498.24743594731,4130.80168277026,3075.63082688598,2565.11584490367,1688.09279377493,1465.77739709396,943.952677664398,1657.58501461048
"Nyamira","Borabu",148067.446884155,8748.50096333323,14040.8334325066,21478.641069671,19318.9228218863,15998.6890227298,14485.2083131831,12283.2212704072,9667.4366914796,7707.19446450219,5664.11445474817,4883.56912501784,3668.99740227368,2731.7897059221,2278.34790780152,1499.37192603337,1301.91034943188,838.423189538673,1472.27477368874
"Busia","Budalangi",77395.1753053665,4572.86040898704,7339.17405756654,11226.9322250745,10098.0428174773,8362.54941667885,7571.44977052703,6420.46637220366,5053.19010515514,4028.56724584025,2960.64489798268,2552.65216291832,1917.79289181688,1427.91239827788,1190.89738792398,783.724954439774,680.511360508466,438.245617790646,769.561214197597
